Book,Genres
"That Was Then, This Is Now","['Young Adult', 'Fiction', 'Classics', 'Coming Of Age', 'Realistic Fiction', 'Contemporary', 'Teen']"
History of Beauty,"['Art', 'Nonfiction', 'History', 'Philosophy', 'Art History', 'Italian Literature', 'Italy']"
"The Man in the Iron Mask (The D'Artagnan Romances, #3.4)","['Classics', 'Fiction', 'Historical Fiction', 'Adventure', 'France', 'Literature', 'Historical']"
Peer Gynt,"['Plays', 'Classics', 'Drama', 'Fiction', 'Poetry', 'Theatre', '19th Century']"
Foxe's Book of Martyrs,"['History', 'Christian', 'Biography', 'Nonfiction', 'Religion', 'Christianity', 'Classics']"
O My Son,['Islam']
"Hunted (House of Night, #5)","['Young Adult', 'Vampires', 'Fantasy', 'Paranormal', 'Romance', 'Fiction', 'Supernatural']"
Percy Jackson's Greek Gods,"['Fantasy', 'Mythology', 'Young Adult', 'Middle Grade', 'Fiction', 'Greek Mythology', 'Adventure']"
Eve Brenner: Zombie Girl (The Zombie Girl Saga #1),"['Zombies', 'New Adult', 'Horror']"
The Future of an Illusion,"['Psychology', 'Philosophy', 'Religion', 'Nonfiction', 'Psychoanalysis', 'Science', 'Classics']"
Stuart Little,"['Childrens', 'Classics', 'Fiction', 'Fantasy', 'Animals', 'Middle Grade', 'Young Adult']"
"Snow Like Ashes (Snow Like Ashes, #1)","['Fantasy', 'Young Adult', 'Romance', 'Magic', 'Young Adult Fantasy', 'High Fantasy', 'Fiction']"
Jessica,"['Fiction', 'Historical Fiction', 'Australia', 'Historical', 'Drama', 'Romance', 'Adult']"
Making of an Empress (Realm of Hulsteria #1),[]
"A Red Herring Without Mustard (Flavia de Luce, #3)","['Mystery', 'Fiction', 'Historical Fiction', 'Young Adult', 'Audiobook', 'Historical', 'Crime']"
A Princess in Berlin,"['Fiction', 'Historical Fiction', 'Romance', 'Germany', 'Politics', 'Historical', 'The United States Of America']"
Ασκητική,"['Philosophy', 'Nonfiction', 'Classics', 'Literature', 'Spirituality', 'Religion', 'Poetry']"
"Personal (Jack Reacher, #19)","['Thriller', 'Fiction', 'Mystery', 'Crime', 'Action', 'Mystery Thriller', 'Suspense']"
"Cold Granite (Logan McRae, #1)","['Crime', 'Mystery', 'Fiction', 'Thriller', 'Scotland', 'Mystery Thriller', 'Detective']"
"The Garden of Rama (Rama, #3)","['Science Fiction', 'Fiction', 'Science Fiction Fantasy', 'Space Opera', 'Fantasy', 'Space', 'Novels']"
"The Art of the Start: The Time-Tested, Battle-Hardened Guide for Anyone Starting Anything","['Business', 'Entrepreneurship', 'Nonfiction', 'Self Help', 'Management', 'Buisness', 'Personal Development']"
Business Model Generation,"['Business', 'Entrepreneurship', 'Nonfiction', 'Management', 'Design', 'Buisness', 'Leadership']"
The Ritual Bath (Peter Decker/Rina Lazarus #1),"['Mystery', 'Fiction', 'Crime', 'Thriller', 'Mystery Thriller', 'Jewish', 'Suspense']"
The Heavenly Man: The Remarkable True Story of Chinese Christian Brother Yun,"['Biography', 'Christian', 'Nonfiction', 'Christianity', 'China', 'Faith', 'Memoir']"
"It Happened One Autumn (Wallflowers, #2)","['Historical Romance', 'Romance', 'Historical', 'Historical Fiction', 'Regency', 'Fiction', 'Adult']"
The Fear Index,"['Fiction', 'Thriller', 'Mystery', 'Crime', 'Science Fiction', 'Suspense', 'Mystery Thriller']"
"Ever Shade (A Dark Faerie Tale, #1)","['Paranormal', 'Magic', 'Urban Fantasy', 'Fairies', 'Romance', 'Paranormal Romance', 'Fantasy']"
"Embrace (Gryphon, #2)","['Fantasy', 'Urban Fantasy', 'Paranormal', 'Young Adult', 'Romance', 'Angels', 'Demons']"
The Collected Short Stories of Saki,"['Short Stories', 'Fiction', 'Classics', 'Humor', 'Literature', 'British Literature', 'Horror']"
"Reflected in You (Crossfire, #2)","['Romance', 'Erotica', 'Contemporary Romance', 'Contemporary', 'Adult', 'Erotic Romance', 'BDSM']"
The Complete Poems of Anna Akhmatova,"['Poetry', 'Russia', 'Russian Literature', 'Classics', 'Fiction', 'Literature', '20th Century']"
The Caliphate of Banu Ummaiya,"['Islam', 'History']"
Hot Water Music,"['Fiction', 'Short Stories', 'Poetry', 'Literature', 'American', 'Classics', 'The United States Of America']"
Bridge Builders: How Superb Communicators Get What They Want in Business and in Life,"['Business', 'Leadership', 'Nonfiction']"
The Princesse de Clèves,"['Classics', 'France', 'Fiction', 'French Literature', 'Historical Fiction', 'Romance', '17th Century']"
Famous Last Words,"['Fiction', 'Canada', 'Historical Fiction', 'War', 'Historical', 'Literature', 'Canadian Literature']"
"Imperfect Chemistry (Imperfect, #1)","['Romance', 'New Adult', 'Contemporary', 'Contemporary Romance', 'College', 'Chick Lit', 'Fiction']"
The Mentor,"['Thriller', 'Fiction', 'Suspense', 'Horror', 'Mystery', 'Mystery Thriller', 'Dark']"
Black-Eyed Susans,"['Mystery', 'Thriller', 'Fiction', 'Mystery Thriller', 'Suspense', 'Crime', 'Psychological Thriller']"
"James Potter and the Vault of Destinies (James Potter, #3)","['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Fan Fiction', 'Adventure', 'Mystery']"
The Four Tendencies: The Indispensable Personality Profiles That Reveal How to Make Your Life Better,"['Nonfiction', 'Self Help', 'Psychology', 'Personal Development', 'Audiobook', 'Business', 'Productivity']"
"The Story of Doctor Dolittle (Doctor Dolittle, #1)","['Classics', 'Childrens', 'Fiction', 'Fantasy', 'Animals', 'Adventure', 'Young Adult']"
"Robopocalypse (Robopocalypse, #1)","['Science Fiction', 'Fiction', 'Post Apocalyptic', 'Dystopia', 'Robots', 'Thriller', 'Apocalyptic']"
Euripides V: Electra / The Phoenician Women / The Bacchae,"['Classics', 'Plays', 'Drama', 'Fiction', 'Mythology', 'Poetry', 'Literature']"
Small Wonder,"['Nonfiction', 'Essays', 'Nature', 'Environment', 'Memoir', 'Short Stories', 'Science']"
The Black Book,"['Fiction', 'Turkish Literature', 'Turkish', 'Mystery', 'Novels', 'Literature', 'Nobel Prize']"
The War of the Flowers,"['Fantasy', 'Fiction', 'Urban Fantasy', 'Science Fiction Fantasy', 'High Fantasy', 'Epic Fantasy', 'Fairies']"
"Sackett's Land (The Sacketts, #1)","['Westerns', 'Fiction', 'Historical Fiction', 'Adventure', 'Historical', 'Audiobook', 'Classics']"
"Jubal Sackett (The Sacketts, #4)","['Westerns', 'Fiction', 'Historical Fiction', 'Adventure', 'Historical', 'Action', 'Classics']"
Mysteries,"['Fiction', 'Classics', 'Scandinavian Literature', 'Novels', 'Literature', '19th Century', 'Nobel Prize']"
"An Echo in the Darkness (Mark of the Lion, #2)","['Christian Fiction', 'Historical Fiction', 'Christian', 'Fiction', 'Romance', 'Historical', 'Christian Romance']"
Nothing to Be Frightened Of,"['Nonfiction', 'Memoir', 'Philosophy', 'Biography', 'Death', 'Essays', 'Religion']"
"Some Things Matter, Some Things Don't: 30 Chats about Life",[]
Liam: Midsummer's Magic Bonus Book,[]
Molloy / Malone Dies / The Unnamable,"['Fiction', 'Classics', 'Literature', 'Novels', 'Irish Literature', 'Ireland', 'Philosophy']"
"Mindful Eating with delicious raw vegan recipes (AoL Mindfulness, #3)","['Vegetarian', 'Vegan', 'Self Help', 'Nonfiction', 'Nutrition', 'Spirituality', 'Adult']"
"White Knight Dom Academy 2nd Semester (White Knight Dom Academy, #3)","['BDSM', 'Erotica', 'Romance', 'Humor', 'Erotic Romance', 'Adult Fiction']"
"Knife of Dreams (The Wheel of Time, #11)","['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Audiobook', 'Epic']"
"Catch Me (Detective D.D. Warren, #6)","['Mystery', 'Thriller', 'Fiction', 'Suspense', 'Mystery Thriller', 'Crime', 'Audiobook']"
Untouchable God,[]
The Third Chimpanzee: The Evolution and Future of the Human Animal,"['Science', 'Nonfiction', 'History', 'Anthropology', 'Evolution', 'Biology', 'Sociology']"
Slammerkin,"['Historical Fiction', 'Fiction', 'Historical', 'British Literature', 'Literary Fiction', '18th Century', 'Prostitution']"
The Buddha of Suburbia,"['Fiction', 'Contemporary', 'British Literature', 'Novels', 'LGBT', 'Coming Of Age', '20th Century']"
A Question of Sanity,['Horror']
Next Year in Havana,"['Historical Fiction', 'Fiction', 'Romance', 'Audiobook', 'Historical', 'Adult', 'Contemporary']"
"Mind's Eye (Inspector Van Veeteren, #1)","['Mystery', 'Crime', 'Fiction', 'Scandinavian Literature', 'Thriller', 'Sweden', 'Nordic Noir']"
Radiant Child: The Story of Young Artist Jean-Michel Basquiat,"['Picture Books', 'Biography', 'Art', 'Nonfiction', 'Childrens', 'Biography Memoir', 'African American']"
"Wizard at Large (Magic Kingdom of Landover, #3)","['Fantasy', 'Fiction', 'Science Fiction Fantasy', 'Magic', 'Adventure', 'Humor', 'Epic Fantasy']"
Our Choice: A Plan to Solve the Climate Crisis,"['Nonfiction', 'Science', 'Environment', 'Climate Change', 'Politics', 'Sustainability', 'Nature']"
To the Far Blue Mountains,"['Westerns', 'Fiction', 'Historical Fiction', 'Adventure', 'Audiobook', 'Historical', 'Action']"
"Among the Impostors (Shadow Children, #2)","['Young Adult', 'Dystopia', 'Science Fiction', 'Fiction', 'Middle Grade', 'Childrens', 'Fantasy']"
The Children's Blizzard,"['History', 'Nonfiction', 'American History', 'Historical', 'Science', '19th Century', 'Nature']"
Wicked: The Grimmerie,"['Fantasy', 'Fiction', 'Plays', 'Theatre', 'Musicals', 'Witches', 'Drama']"
A Man in Full,"['Fiction', 'Literature', 'Novels', 'Philosophy', 'Classics', 'Contemporary', 'Literary Fiction']"
Solstice,"['Zombies', 'Horror', 'Young Adult', 'Fiction', 'Fantasy', 'Urban Fantasy', 'Post Apocalyptic']"
"Something Wonderful (Sequels, #2)","['Historical Romance', 'Romance', 'Historical', 'Historical Fiction', 'Regency', 'Fiction', 'Adult']"
The Invitation,"['Nonfiction', 'Poetry', 'Spirituality', 'Self Help', 'Inspirational', 'Philosophy', 'Psychology']"
Three Men on the Bummel,"['Classics', 'Fiction', 'Humor', 'Travel', 'Comedy', 'British Literature', 'Adventure']"
Gold Coast,"['Fiction', 'Thriller', 'Mystery', 'Mystery Thriller', 'Suspense', 'Crime', 'Audiobook']"
The Coldest Girl in Coldtown,"['Young Adult', 'Fantasy', 'Vampires', 'Paranormal', 'Horror', 'Urban Fantasy', 'Romance']"
The Invention of Ancient Israel: The Silencing of Palestinian History,"['History', 'Politics']"
Money Moves That Matter: Simple Steps to Become Debt-Free,[]
"The Apprentice (Rizzoli & Isles, #2)","['Mystery', 'Thriller', 'Crime', 'Fiction', 'Mystery Thriller', 'Suspense', 'Detective']"
Trigger Warning: Short Fictions and Disturbances,"['Fantasy', 'Short Stories', 'Fiction', 'Horror', 'Science Fiction', 'Audiobook', 'Anthologies']"
The Turning (Ruin #4),"['Fantasy', 'Paranormal Romance', 'Paranormal', 'Angels', 'Fantasy Romance', 'Romance', 'Erotica']"
Reginald Bones 2 (Reginald Bones #2),"['Dark', 'Romance', 'Erotica', 'Contemporary']"
"A Crown of Swords (The Wheel of Time, #7)","['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Audiobook', 'Epic']"
The Underground Railroad,"['Historical Fiction', 'Fiction', 'Historical', 'Audiobook', 'Race', 'Literary Fiction', 'African American']"
"If You Liked School, You'll Love Work","['Fiction', 'Short Stories', 'Contemporary', 'Scotland', 'Humor', 'Literature', 'Drama']"
"Where the Conflict Really Lies: Science, Religion, and Naturalism","['Philosophy', 'Science', 'Religion', 'Theology', 'Nonfiction', 'Christianity', 'Christian']"
"God, Freedom, and Evil","['Philosophy', 'Theology', 'Religion', 'Christianity', 'Christian', 'Nonfiction', 'Atheism']"
Dark Descent into Desire,['Romance']
The Midwife's Apprentice,"['Historical Fiction', 'Young Adult', 'Fiction', 'Childrens', 'Middle Grade', 'Historical', 'Medieval']"
"Perfect Remains (D.I. Callanach, #1)","['Crime', 'Thriller', 'Mystery', 'Fiction', 'Mystery Thriller', 'Audiobook', 'Scotland']"
"The Clocks (Hercule Poirot, #39)","['Mystery', 'Fiction', 'Crime', 'Classics', 'Detective', 'Mystery Thriller', 'Audiobook']"
The Wild Braid: A Poet Reflects on a Century in the Garden,"['Poetry', 'Gardening', 'Memoir', 'Nonfiction', 'Nature', 'Biography', 'Photography']"
"The Black Unicorn (Magic Kingdom of Landover, #2)","['Fantasy', 'Fiction', 'Science Fiction Fantasy', 'Magic', 'Adventure', 'Humor', 'High Fantasy']"
Bajki robotów,"['Science Fiction', 'Fiction', 'Short Stories', 'Polish Literature', 'Classics', 'Fantasy', 'Science Fiction Fantasy']"
"Wieża Jaskółki (Saga o Wiedźminie, #4)","['Fantasy', 'Fiction', 'Polish Literature', 'High Fantasy', 'Audiobook', 'Adventure', 'Epic Fantasy']"
Brunelleschi's Dome: How a Renaissance Genius Reinvented Architecture,"['History', 'Nonfiction', 'Art', 'Architecture', 'Italy', 'Art History', 'Biography']"
Upside Down: A Primer for the Looking-Glass World,"['Nonfiction', 'History', 'Politics', 'Essays', 'Philosophy', 'Sociology', 'Spanish Literature']"
A Bell for Adano,"['Fiction', 'Historical Fiction', 'Classics', 'Italy', 'War', 'World War II', 'Literature']"
A Chair for My Mother,"['Picture Books', 'Childrens', 'Realistic Fiction', 'Family', 'Fiction', 'Cultural', 'Money']"
Morphine,"['Fiction', 'Russia', 'Classics', 'Russian Literature', 'Short Stories', 'Novels', 'Literature']"
"Silence (Hush, Hush, #3)","['Young Adult', 'Fantasy', 'Angels', 'Romance', 'Paranormal', 'Paranormal Romance', 'Supernatural']"
"Elric of Melniboné (The Elric Saga, #1)","['Fantasy', 'Fiction', 'Sword and Sorcery', 'Epic Fantasy', 'Science Fiction Fantasy', 'Dark Fantasy', 'High Fantasy']"
Small Sacrifices,"['True Crime', 'Nonfiction', 'Crime', 'Mystery', 'Audiobook', 'Biography', 'History']"
The Tale of Jemima Puddle-Duck,"['Childrens', 'Picture Books', 'Classics', 'Fiction', 'Animals', 'Fantasy', 'Short Stories']"
"Garden of Shadows (Dollanganger, #5)","['Fiction', 'Horror', 'Young Adult', 'Romance', 'Gothic', 'Thriller', 'Drama']"
"Seeds of Yesterday (Dollanganger, #4)","['Fiction', 'Horror', 'Young Adult', 'Romance', 'Gothic', 'Drama', 'Thriller']"
"If There Be Thorns (Dollanganger, #3)","['Fiction', 'Horror', 'Young Adult', 'Romance', 'Gothic', 'Thriller', 'Drama']"
"Petals on the Wind (Dollanganger, #2)","['Fiction', 'Horror', 'Young Adult', 'Romance', 'Gothic', 'Drama', 'Thriller']"
Shalako,"['Westerns', 'Fiction', 'Historical Fiction', 'Adventure', 'Adult Fiction', 'Historical', 'Romance']"
Tender Morsels,"['Fantasy', 'Young Adult', 'Fiction', 'Fairy Tales', 'Retellings', 'Teen', 'Magic']"
A Monk and His Girlfriend,[]
"I, Me, and Whisky",[]
"Right Ho, Jeeves (Jeeves, #6)","['Fiction', 'Humor', 'Classics', 'Comedy', 'British Literature', 'Audiobook', 'Novels']"
A Day To Remember: The Best Thing for Me Sequel,[]
Mr. Sapien träumt vom Menschsein,"['Science Fiction', 'Fiction', 'Dystopia', 'Fantasy', 'Adult', 'Suspense', 'Speculative Fiction']"
"Lioness Rampant (Song of the Lioness, #4)","['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Young Adult Fantasy', 'Adventure', 'Romance']"
The King of Torts,"['Fiction', 'Thriller', 'Mystery', 'Legal Thriller', 'Suspense', 'Crime', 'Mystery Thriller']"
Love Yourself Like Your Life Depends on It,"['Self Help', 'Nonfiction', 'Psychology', 'Personal Development', 'Philosophy', 'Spirituality', 'Mental Health']"
Footfall,"['Science Fiction', 'Fiction', 'Science Fiction Fantasy', 'Aliens', 'Post Apocalyptic', 'War', 'Audiobook']"
The Chaperone,"['Historical Fiction', 'Fiction', 'Historical', 'Audiobook', 'Adult', 'Adult Fiction', 'New York']"
"Notorious Nineteen (Stephanie Plum, #19)","['Mystery', 'Fiction', 'Humor', 'Chick Lit', 'Romance', 'Audiobook', 'Crime']"
Hitler and Churchill. Secrets of Leadership,"['History', 'Biography', 'Nonfiction', 'Politics', 'World War II', 'Leadership', 'European History']"
Be More Chill,"['Young Adult', 'Fiction', 'Science Fiction', 'Contemporary', 'Humor', 'Teen', 'Romance']"
Grotesque,"['Fiction', 'Japan', 'Japanese Literature', 'Mystery', 'Horror', 'Crime', 'Thriller']"
Handbook to Higher Consciousness,"['Spirituality', 'Self Help', 'Psychology', 'Nonfiction', 'Philosophy', 'New Age', 'Inspirational']"
Honest Illusions,"['Romance', 'Contemporary Romance', 'Romantic Suspense', 'Contemporary', 'Fiction', 'Mystery', 'Suspense']"
"The Mouse and the Motorcycle (Ralph S. Mouse, #1)","['Childrens', 'Fiction', 'Fantasy', 'Middle Grade', 'Animals', 'Classics', 'Young Adult']"
Better: A Surgeon's Notes on Performance,"['Nonfiction', 'Medicine', 'Medical', 'Science', 'Health', 'Memoir', 'Health Care']"
"Finale (Hush, Hush, #4)","['Fantasy', 'Young Adult', 'Romance', 'Angels', 'Paranormal', 'Paranormal Romance', 'Fiction']"
Mastering the Art of French Cooking,"['Cookbooks', 'Cooking', 'Food', 'Nonfiction', 'Reference', 'France', 'Culinary']"
"Royal Blood (Her Royal Spyness Mysteries, #4)","['Mystery', 'Historical Fiction', 'Fiction', 'Historical', 'Cozy Mystery', 'Historical Mystery', 'Audiobook']"
"War Horse (War Horse, #1)","['Historical Fiction', 'Fiction', 'War', 'Animals', 'Young Adult', 'Historical', 'Childrens']"
The House Girl,"['Historical Fiction', 'Fiction', 'Historical', 'Audiobook', 'Adult', 'Adult Fiction', 'Book Club']"
"The Last Lion: Winston Spencer Churchill: Defender of the Realm, 1940-1965","['Biography', 'History', 'Nonfiction', 'Politics', 'World War II', 'War', 'Biography Memoir']"
God and the State,"['Philosophy', 'Politics', 'Nonfiction', 'Religion', 'History', 'Russia', 'Theory']"
Seven Sons of Zion (Scribbler Guardian #2),[]
Road No Good,['Nonfiction']
"The Art of Non-Conformity: Set Your Own Rules, Live the Life You Want, and Change the World","['Nonfiction', 'Self Help', 'Business', 'Personal Development', 'Psychology', 'Travel', 'Philosophy']"
The Scold's Bridle,"['Mystery', 'Crime', 'Fiction', 'Thriller', 'Mystery Thriller', 'Suspense', 'British Literature']"
The Book of Revelation,"['Fiction', 'Contemporary', 'Literary Fiction', 'Thriller', 'Literature', 'Horror', 'Erotica']"
The Enormous Crocodile,"['Childrens', 'Fiction', 'Picture Books', 'Fantasy', 'Animals', 'Classics', 'Middle Grade']"
"The Boy, the Mole, the Fox and the Horse","['Fiction', 'Graphic Novels', 'Poetry', 'Childrens', 'Philosophy', 'Self Help', 'Art']"
Thomas Jefferson: Author of America,"['History', 'Biography', 'Nonfiction', 'Politics', 'American History', 'Presidents', 'Biography Memoir']"
"Saints of the Shadow Bible (Inspector Rebus, #19)","['Mystery', 'Crime', 'Fiction', 'Scotland', 'Detective', 'Mystery Thriller', 'Thriller']"
The Discourses,"['Philosophy', 'Classics', 'Nonfiction', 'History', 'Self Help', 'Ancient', 'Psychology']"
"The Sackett Brand (The Sacketts, #10)","['Westerns', 'Fiction', 'Historical Fiction', 'Adventure', 'Historical', 'Action', 'Adult Fiction']"
Double Identity,"['Young Adult', 'Science Fiction', 'Fiction', 'Fantasy', 'Mystery', 'Middle Grade', 'Childrens']"
The Star Diaries: Further Reminiscences of Ijon Tichy,"['Science Fiction', 'Fiction', 'Short Stories', 'Humor', 'Polish Literature', 'Classics', 'Fantasy']"
The MacKade Brothers: Rafe and Jared (MacKades #1-2),"['Romance', 'Contemporary Romance', 'Fiction', 'Contemporary', 'Chick Lit', 'Adult', 'Adult Fiction']"
"Moominsummer Madness (The Moomins, #5)","['Fantasy', 'Childrens', 'Fiction', 'Classics', 'Finnish Literature', 'Middle Grade', 'Adventure']"
"A Long Way from Chicago (A Long Way from Chicago, #1)","['Historical Fiction', 'Young Adult', 'Fiction', 'Childrens', 'Middle Grade', 'Humor', 'Historical']"
Complete Works,"['Poetry', 'France', 'Classics', 'Fiction', 'Literature', 'French Literature', '19th Century']"
Sabbath's Theater,"['Fiction', 'American', 'Novels', 'Literature', 'Literary Fiction', 'The United States Of America', 'Classics']"
Heart of Darkness and The Secret Sharer,"['Classics', 'Fiction', 'Literature', 'School', 'Africa', 'Historical Fiction', 'Novels']"
A Night to Remember,"['History', 'Nonfiction', 'Classics', 'Historical', 'Audiobook', 'Survival', 'Biography']"
Managing Bubbie,"['Nonfiction', 'Memoir', 'Biography', 'Holocaust', 'History', 'Family', 'Historical']"
Lethal Conspiracy,['Thriller']
Dreamland: The True Tale of America's Opiate Epidemic,"['Nonfiction', 'History', 'True Crime', 'Politics', 'Medicine', 'Crime', 'Sociology']"
"Pyramids (Discworld, #7)","['Fantasy', 'Fiction', 'Humor', 'Comedy', 'Science Fiction Fantasy', 'Audiobook', 'Magic']"
The Sweetest Death: The Sweetest Kill Bonus Chapter,[]
The Puzzle: How to Become the Master of Your Own Life,[]
Helen,"['Plays', 'Classics', 'Drama', 'Mythology', 'Theatre', 'Fiction', 'Poetry']"
Reconstructing Amelia,"['Mystery', 'Fiction', 'Thriller', 'Young Adult', 'Mystery Thriller', 'Contemporary', 'Suspense']"
A Stranger in the House,"['Thriller', 'Mystery', 'Fiction', 'Mystery Thriller', 'Suspense', 'Audiobook', 'Adult']"
"Dark Stranger: The Dream (The Children of the Gods, #1)","['Paranormal', 'Romance', 'Fantasy', 'Paranormal Romance', 'Vampires', 'Urban Fantasy', 'Fiction']"
"Dexter in the Dark (Dexter, #3)","['Fiction', 'Mystery', 'Thriller', 'Crime', 'Horror', 'Suspense', 'Mystery Thriller']"
"Shades of Earth (Across the Universe, #3)","['Young Adult', 'Science Fiction', 'Dystopia', 'Romance', 'Fantasy', 'Fiction', 'Space']"
Boo's Shoes - A Rabbit and Fox Story: Learn To Tie Shoelaces,"['Childrens', 'Fiction']"
The Quincunx,"['Fiction', 'Historical Fiction', 'Mystery', 'Historical', 'Victorian', 'British Literature', 'Gothic']"
"A Rule Against Murder (Chief Inspector Armand Gamache, #4)","['Mystery', 'Fiction', 'Audiobook', 'Canada', 'Crime', 'Mystery Thriller', 'Adult']"
Thunderstruck,"['Nonfiction', 'History', 'True Crime', 'Science', 'Crime', 'Mystery', 'Historical']"
"The Grave's a Fine and Private Place (Flavia de Luce, #9)","['Mystery', 'Fiction', 'Historical Fiction', 'Audiobook', 'Historical', 'Young Adult', 'British Literature']"
Arabella,"['Romance', 'Historical Fiction', 'Historical Romance', 'Regency', 'Historical', 'Fiction', 'Classics']"
A Pale View of Hills,"['Fiction', 'Japan', 'Historical Fiction', 'Literary Fiction', 'Japanese Literature', 'Contemporary', 'Novels']"
Laughter in the Dark,"['Fiction', 'Classics', 'Russia', 'Russian Literature', 'Novels', 'Literature', '20th Century']"
Daniel & Ian (The MacGregors #5 & #0.2),"['Romance', 'Contemporary Romance', 'Fiction', 'Contemporary', 'Historical Romance', 'Historical', 'Chick Lit']"
The Girl in the Red Coat: A Memoir,"['Nonfiction', 'Holocaust', 'History', 'Memoir', 'World War II', 'Biography', 'War']"
"New York to Dallas (In Death, #33)","['Mystery', 'Romance', 'Fiction', 'Crime', 'Romantic Suspense', 'Futuristic', 'Suspense']"
My Sergei: A Love Story,"['Nonfiction', 'Biography', 'Memoir', 'Sports', 'Romance', 'Biography Memoir', 'Figure Skating']"
"Opal (Lux, #3)","['Young Adult', 'Fantasy', 'Paranormal', 'Romance', 'Aliens', 'Science Fiction', 'Paranormal Romance']"
Cory's Way,[]
Necronomicon: The Best Weird Tales,"['Horror', 'Fantasy', 'Fiction', 'Classics', 'Short Stories', 'Science Fiction', 'Gothic']"
"Rescued Royal: Sex, Drugs, and Jesus - Walking Through Hell and Colliding with Love",[]
"Crooked Letter, Crooked Letter","['Mystery', 'Fiction', 'Crime', 'Southern', 'Thriller', 'Mystery Thriller', 'Audiobook']"
The President Is Missing,"['Fiction', 'Thriller', 'Mystery', 'Audiobook', 'Mystery Thriller', 'Politics', 'Suspense']"
"The Warrior's Path (The Sacketts, #3)","['Westerns', 'Fiction', 'Historical Fiction', 'Adventure', 'Historical', 'Action', 'Audiobook']"
Whipping Girl: A Transsexual Woman on Sexism and the Scapegoating of Femininity,"['Nonfiction', 'Feminism', 'Queer', 'Gender', 'LGBT', 'Transgender', 'Gender Studies']"
The Short Stories,"['Fiction', 'Short Stories', 'Classics', 'Literature', 'American', 'The United States Of America', 'Literary Fiction']"
"The MacGregors: Alan & Grant (The MacGregors, #3-4)","['Romance', 'Contemporary Romance', 'Contemporary', 'Fiction', 'Chick Lit', 'Historical Romance', 'Anthologies']"
Gweilo: Memories of a Hong Kong Childhood,"['Memoir', 'Nonfiction', 'China', 'Biography', 'Asia', 'Travel', 'History']"
"The Vampire King (The Kings, #1)","['Vampires', 'Paranormal', 'Romance', 'Paranormal Romance', 'Fantasy', 'Urban Fantasy', 'Adult']"
"The Everafter War (The Sisters Grimm, #7)","['Fantasy', 'Middle Grade', 'Fairy Tales', 'Mystery', 'Fiction', 'Childrens', 'Young Adult']"
Gorillas in the Mist,"['Nonfiction', 'Science', 'Animals', 'Africa', 'Biography', 'Memoir', 'Nature']"
Woman in the Mists: The Story of Dian Fossey and the Mountain Gorillas of Africa,"['Nonfiction', 'Biography', 'Africa', 'Animals', 'Science', 'Nature', 'Biography Memoir']"
"First Term at Malory Towers (Malory Towers, #1)","['Childrens', 'Fiction', 'Classics', 'Middle Grade', 'School Stories', 'Boarding School', 'Young Adult']"
Courage: The Joy of Living Dangerously,"['Spirituality', 'Philosophy', 'Nonfiction', 'Self Help', 'Psychology', 'Personal Development', 'Religion']"
Me and My Big Mouth!: Your Answer Is Right Under Your Nose,"['Christian', 'Spirituality', 'Nonfiction', 'Christianity', 'Inspirational', 'Self Help', 'Faith']"
Fireproof,"['Christian', 'Christian Fiction', 'Fiction', 'Romance', 'Marriage', 'Faith', 'Inspirational']"
Color: A Natural History of the Palette,"['Art', 'Nonfiction', 'History', 'Science', 'Travel', 'Art History', 'Microhistory']"
"Splintered (Splintered, #1)","['Fantasy', 'Young Adult', 'Retellings', 'Romance', 'Magic', 'Paranormal', 'Fairy Tales']"
12 Years a Slave and Other Slave Narratives,"['History', 'Nonfiction', 'Biography', 'Classics', 'Historical', 'Memoir', 'Audiobook']"
Chomsky On Anarchism,"['Politics', 'Nonfiction', 'Philosophy', 'History', 'Economics', 'Theory', 'Anarchism']"
Wild Lives: Leading Conservationists on the Animals and the Planet They Love,"['Nonfiction', 'Science', 'Animals', 'Nature', 'Ecology', 'Environment']"
"Glass Houses (Chief Inspector Armand Gamache, #13)","['Mystery', 'Fiction', 'Audiobook', 'Mystery Thriller', 'Crime', 'Canada', 'Thriller']"
"The Girl in the Ice (Detective Erika Foster, #1)","['Mystery', 'Thriller', 'Crime', 'Fiction', 'Mystery Thriller', 'Suspense', 'Audiobook']"
I Want My Hat Back,"['Picture Books', 'Childrens', 'Humor', 'Animals', 'Fiction', 'Storytime', 'Fantasy']"
Deadly Decisions,[]
Acceptance,"['Science Fiction', 'Fiction', 'Horror', 'Fantasy', 'Audiobook', 'Mystery', 'Science Fiction Fantasy']"
"Home (Binti, #2)","['Science Fiction', 'Fiction', 'Fantasy', 'Novella', 'Young Adult', 'Audiobook', 'Science Fiction Fantasy']"
The Girls,"['Fiction', 'Historical Fiction', 'Contemporary', 'Audiobook', 'Historical', 'Adult', 'Literary Fiction']"
"The Hand on the Wall (Truly Devious, #3)","['Mystery', 'Young Adult', 'Mystery Thriller', 'Audiobook', 'Contemporary', 'Fiction', 'Thriller']"
